timestamps,TP9,AF7,AF8,TP10,Right AUX
1627808621.175,-11.230,-19.531,-10.254,-14.648,0.000
1627808621.179,-6.348,-19.531,-3.906,14.160,0.000
1627808621.183,-59.570,-24.414,-6.836,-31.250,0.000
1627808621.187,-83.496,-14.160,-17.090,-69.824,0.000
1627808621.191,-30.762,-19.531,-13.184,-26.367,0.000
1627808621.195,1.465,-18.555,-10.254,18.555,0.000
1627808621.199,-37.109,-19.043,-19.531,-13.672,0.000
1627808621.203,-65.430,-19.043,-21.484,-54.199,0.000
1627808621.207,-20.020,-7.812,-13.184,-24.902,0.000
1627808621.210,21.973,-10.742,-13.184,20.020,0.000
1627808621.214,-14.648,-15.625,-16.602,1.465,0.000
1627808621.218,-58.105,-10.254,-15.137,-47.363,0.000
1627808621.222,-28.809,-14.160,-11.719,-41.504,0.000
1627808621.226,20.996,-12.207,-8.301,6.836,0.000
1627808621.230,-0.977,-18.555,-14.648,4.395,0.000
1627808621.234,-57.129,-25.879,-18.555,-48.828,0.000
1627808621.238,-55.176,-20.020,-18.066,-63.965,0.000
1627808621.242,-3.418,-10.254,-14.648,-16.113,0.000
1627808621.246,2.930,-7.324,-11.230,13.184,0.000
1627808621.250,-50.293,-17.578,-13.184,-28.320,0.000
1627808621.253,-78.613,-20.508,-12.207,-63.477,0.000
1627808621.257,-38.574,-14.160,-8.301,-30.273,0.000
1627808621.261,-12.207,-16.602,-10.742,5.371,0.000
1627808621.265,-59.082,-17.090,-17.578,-25.879,0.000
1627808621.269,-87.402,-20.508,-15.625,-71.289,0.000
1627808621.273,-48.340,-20.020,-11.719,-52.734,0.000
1627808621.277,-11.719,-18.555,-12.207,-9.277,0.000
1627808621.281,-34.180,-17.578,-13.184,-14.160,0.000
1627808621.285,-77.637,-20.508,-16.602,-63.477,0.000
1627808621.289,-62.012,-19.531,-15.137,-65.430,0.000
1627808621.293,-13.672,-19.531,-12.207,-14.160,0.000
1627808621.296,-22.949,-26.855,-13.184,-8.301,0.000
1627808621.300,-67.871,-20.020,-13.184,-50.781,0.000
1627808621.304,-69.824,-20.508,-11.230,-67.383,0.000
1627808621.308,-32.227,-24.414,-6.836,-30.273,0.000
1627808621.312,-19.531,-20.020,-8.789,-1.465,0.000
1627808621.316,-56.641,-20.508,-11.230,-36.621,0.000
1627808621.320,-81.543,-12.207,-10.742,-73.730,0.000
1627808621.324,-41.016,-5.859,-13.184,-46.875,0.000
1627808621.328,-1.953,-19.043,-6.836,-3.418,0.000
1627808621.332,-33.203,-16.602,-5.859,-17.578,0.000
1627808621.336,-69.336,-11.719,-7.324,-63.477,0.000
1627808621.339,-41.504,-13.672,-7.324,-53.223,0.000
1627808621.343,0.977,-11.230,-7.324,1.953,0.000
1627808621.347,-17.578,-13.184,-6.348,2.930,0.000
1627808621.351,-65.918,-18.555,-9.766,-47.852,0.000
1627808621.355,-60.059,-19.531,-9.277,-58.594,0.000
1627808621.359,-16.602,-15.625,-2.930,-8.789,0.000
1627808621.363,-15.625,-11.230,-0.977,15.137,0.000
1627808621.367,-64.453,-18.066,-8.789,-32.715,0.000
1627808621.371,-80.566,-19.531,-10.742,-65.918,0.000
1627808621.375,-38.086,-9.766,-12.207,-31.250,0.000
1627808621.378,-10.742,-14.648,-7.812,5.371,0.000
1627808621.382,-46.875,-17.090,-10.742,-18.066,0.000
1627808621.386,-76.172,-16.113,-18.066,-54.688,0.000
1627808621.390,-38.086,-20.996,-12.695,-33.203,0.000
1627808621.394,-7.324,-19.531,-8.301,10.742,0.000
1627808621.398,-39.551,-3.418,-7.812,0.488,0.000
1627808621.402,-76.660,-13.672,-10.742,-45.410,0.000
1627808621.406,-56.641,-27.832,-10.742,-45.898,0.000
1627808621.410,-10.742,-20.020,-6.348,0.000,0.000
1627808621.414,-22.949,-20.020,-7.812,0.977,0.000
1627808621.418,-65.430,-24.414,-10.742,-51.758,0.000
1627808621.421,-59.082,-25.391,-10.742,-67.871,0.000
1627808621.425,-11.230,-21.484,-11.719,-20.020,0.000
1627808621.429,-4.883,-15.625,-6.348,6.836,0.000
1627808621.433,-53.223,-24.902,-5.371,-40.039,0.000
1627808621.437,-63.965,-28.809,-7.324,-74.219,0.000
1627808621.441,-16.113,-19.531,-5.371,-32.227,0.000
1627808621.445,4.883,-18.066,-8.301,5.859,0.000
1627808621.449,-28.809,-23.438,-10.742,-20.020,0.000
1627808621.453,-61.523,-24.414,-13.184,-65.918,0.000
1627808621.457,-31.738,-14.160,-14.160,-52.246,0.000
1627808621.461,13.672,-12.695,-6.836,-0.977,0.000
1627808621.464,-21.484,-25.391,-7.324,-15.625,0.000
1627808621.468,-68.848,-22.949,-13.184,-66.406,0.000
1627808621.472,-41.992,-17.578,-9.277,-58.105,0.000
1627808621.476,10.742,-7.324,-3.906,-1.953,0.000
1627808621.480,4.883,-6.348,-8.301,6.348,0.000
