timestamps,TP9,AF7,AF8,TP10,Right AUX
1627808095.960,-14.160,-18.066,-21.973,-22.461,0.000
1627808095.964,-41.016,-24.414,-19.531,-66.406,0.000
1627808095.968,-23.926,-17.578,-18.066,-49.805,0.000
1627808095.972,7.324,-13.184,-20.508,-2.930,0.000
1627808095.976,-8.789,-19.531,-25.879,-10.254,0.000
1627808095.979,-42.969,-26.367,-30.762,-55.176,0.000
1627808095.983,-39.062,-29.297,-23.926,-59.570,0.000
1627808095.987,1.465,-13.672,-15.137,-7.812,0.000
1627808095.991,11.719,-7.812,-16.113,3.418,0.000
1627808095.995,-31.738,-18.555,-21.484,-44.434,0.000
1627808095.999,-41.992,-19.043,-20.020,-58.105,0.000
1627808096.003,-4.883,-15.137,-18.555,-15.625,0.000
1627808096.007,3.418,-13.672,-20.996,10.742,0.000
1627808096.011,-32.227,-20.996,-25.879,-26.855,0.000
1627808096.015,-47.852,-21.973,-22.461,-53.223,0.000
1627808096.019,-18.555,-15.625,-19.531,-21.484,0.000
1627808096.022,4.883,-10.742,-19.531,14.160,0.000
1627808096.026,-10.742,-8.301,-18.555,-0.977,0.000
1627808096.030,-39.551,-14.648,-18.555,-43.457,0.000
1627808096.034,-33.203,-20.508,-20.020,-36.133,0.000
1627808096.038,-0.488,-18.555,-20.508,10.254,0.000
1627808096.042,-5.371,-14.648,-19.043,13.672,0.000
1627808096.046,-43.457,-18.555,-21.973,-33.203,0.000
1627808096.050,-46.875,-22.949,-23.438,-44.434,0.000
1627808096.054,-7.324,-20.996,-18.555,-0.977,0.000
1627808096.058,1.953,-25.391,-20.996,11.230,0.000
1627808096.061,-30.273,-25.879,-16.602,-24.902,0.000
1627808096.065,-43.945,-20.996,-15.137,-51.270,0.000
1627808096.069,-7.812,-14.160,-17.090,-15.625,0.000
1627808096.073,9.766,-12.695,-20.508,17.090,0.000
1627808096.077,-28.809,-23.438,-27.832,-17.090,0.000
1627808096.081,-60.059,-30.273,-30.762,-53.711,0.000
1627808096.085,-27.832,-19.043,-21.484,-30.273,0.000
1627808096.089,7.812,-19.043,-18.066,5.371,0.000
1627808096.093,-12.207,-25.391,-28.809,-13.672,0.000
1627808096.097,-43.457,-25.391,-31.250,-56.641,0.000
1627808096.101,-36.621,-25.879,-27.344,-53.711,0.000
1627808096.104,7.812,-15.137,-21.973,-3.418,0.000
1627808096.108,5.371,-9.277,-20.996,4.395,0.000
1627808096.112,-39.062,-18.555,-26.367,-39.062,0.000
1627808096.116,-39.062,-19.043,-25.391,-50.781,0.000
1627808096.120,2.930,-14.648,-19.531,-2.930,0.000
1627808096.124,12.695,-15.625,-13.672,22.949,0.000
1627808096.128,-18.555,-18.066,-19.531,-20.508,0.000
1627808096.132,-30.762,-13.672,-20.996,-47.363,0.000
1627808096.136,-1.953,-13.184,-15.625,-14.160,0.000
1627808096.140,16.602,-16.113,-14.648,16.602,0.000
1627808096.144,-12.695,-20.508,-21.484,-11.230,0.000
1627808096.147,-51.758,-21.973,-29.297,-54.199,0.000
1627808096.151,-34.180,-23.438,-26.855,-32.715,0.000
1627808096.155,7.812,-22.461,-21.484,17.090,0.000
1627808096.159,-7.324,-19.531,-20.508,0.488,0.000
1627808096.163,-44.922,-22.949,-23.438,-47.363,0.000
1627808096.167,-39.062,-22.461,-22.461,-43.945,0.000
1627808096.171,-2.930,-12.695,-17.578,0.488,0.000
1627808096.175,3.906,-14.648,-19.531,4.883,0.000
1627808096.179,-34.668,-27.832,-28.809,-40.527,0.000
1627808096.183,-43.457,-32.715,-26.855,-54.688,0.000
1627808096.186,-2.930,-25.879,-18.066,-13.184,0.000
1627808096.190,12.695,-19.043,-12.207,12.207,0.000
1627808096.194,-16.113,-23.438,-15.625,-20.508,0.000
1627808096.198,-40.527,-30.273,-20.508,-53.223,0.000
1627808096.202,-21.484,-31.738,-16.113,-25.879,0.000
1627808096.206,4.883,-22.949,-12.695,16.602,0.000
1627808096.210,-18.555,-20.508,-13.672,-0.977,0.000
1627808096.214,-50.293,-29.785,-19.043,-42.969,0.000
1627808096.218,-31.250,-25.391,-14.648,-24.902,0.000
1627808096.222,0.977,-18.555,-8.301,21.973,0.000
1627808096.226,-7.812,-26.367,-12.695,13.184,0.000
1627808096.229,-42.480,-30.762,-20.020,-32.715,0.000
1627808096.233,-40.039,-19.043,-20.508,-35.645,0.000
1627808096.237,0.000,-13.184,-13.184,8.789,0.000
1627808096.241,0.000,-21.973,-12.207,13.184,0.000
1627808096.245,-39.062,-26.855,-20.508,-29.297,0.000
